province,fire
Trà Vinh,53
Phú Thọ,48
Cà Mau,20
Thanh Hoá,226
Ninh Thuận,79
Hồ Chí Minh,25
Quảng Nam,530
Bình Định,451
Bắc Giang,80
Đồng Nai,82
Bắc Kạn,25
Nghệ An,319
Bình Thuận,110
Tiền Giang,40
Đắk Nông,33
Quảng Trị,92
Long An,102
Điện Biên,58
Lai Châu,15
Quảng Ngãi,389
Hà Tĩnh,244
Thái Nguyên,50
Đồng Tháp,74
Sóc Trăng,33
Lâm Đồng,24
Khánh Hòa,142
Kiên Giang,152
Thừa Thiên Huế,119
Quảng Ninh,105
Bến Tre,70
Gia Lai,94
Vĩnh Phúc,27
Lào Cai,9
Hưng Yên,7
Bà Rịa-Vũng Tàu,57
Phú Yên,338
Cao Bằng,6
Hải Phòng,22
Tuyên Quang,26
Đắk Lắk,142
Hải Dương,86
Kon Tum,6
Bạc Liêu,15
Đà Nẵng,33
Hòa Bình,60
Hà Giang,12
Thái Bình,22
Lạng Sơn,78
Sơn La,107
Cần Thơ,3
Vĩnh Long,0
Ninh Bình,34
Quảng Bình,285
Hậu Giang,27
Hà Nội,79
Bắc Ninh,33
Bình Phước,41
Hà Nam,41
Tây Ninh,40
Bình Dương,54
Nam Định,23
Yên Bái,44
An Giang,130
