province,fire
Trà Vinh,2
Phú Thọ,11
Cà Mau,7
Thanh Hoá,0
Ninh Thuận,21
Hồ Chí Minh,3
Quảng Nam,55
Bình Định,25
Bắc Giang,0
Đồng Nai,16
Bắc Kạn,30
Nghệ An,120
Bình Thuận,26
Tiền Giang,0
Đắk Nông,31
Quảng Trị,0
Long An,6
Điện Biên,180
Lai Châu,160
Quảng Ngãi,23
Hà Tĩnh,30
Thái Nguyên,11
Đồng Tháp,6
Sóc Trăng,1
Lâm Đồng,52
Khánh Hòa,19
Kiên Giang,13
Thừa Thiên Huế,12
Quảng Ninh,23
Bến Tre,0
Gia Lai,44
Vĩnh Phúc,0
Lào Cai,30
Hưng Yên,0
Bà Rịa-Vũng Tàu,2
Phú Yên,13
Cao Bằng,56
Hải Phòng,0
Tuyên Quang,33
Đắk Lắk,62
Hải Dương,0
Kon Tum,110
Bạc Liêu,1
Đà Nẵng,0
Hòa Bình,23
Hà Giang,1
Thái Bình,0
Lạng Sơn,30
Sơn La,167
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,3
Quảng Bình,22
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,33
Hà Nam,0
Tây Ninh,5
Bình Dương,2
Nam Định,0
Yên Bái,69
An Giang,0
