province,fire
Trà Vinh,4
Phú Thọ,20
Cà Mau,7
Thanh Hoá,327
Ninh Thuận,97
Hồ Chí Minh,21
Quảng Nam,965
Bình Định,93
Bắc Giang,64
Đồng Nai,95
Bắc Kạn,52
Nghệ An,494
Bình Thuận,109
Tiền Giang,23
Đắk Nông,72
Quảng Trị,315
Long An,34
Điện Biên,274
Lai Châu,143
Quảng Ngãi,470
Hà Tĩnh,140
Thái Nguyên,76
Đồng Tháp,57
Sóc Trăng,53
Lâm Đồng,72
Khánh Hòa,128
Kiên Giang,63
Thừa Thiên Huế,90
Quảng Ninh,248
Bến Tre,10
Gia Lai,283
Vĩnh Phúc,4
Lào Cai,32
Hưng Yên,4
Bà Rịa-Vũng Tàu,45
Phú Yên,151
Cao Bằng,30
Hải Phòng,15
Tuyên Quang,73
Đắk Lắk,227
Hải Dương,40
Kon Tum,200
Bạc Liêu,49
Đà Nẵng,3
Hòa Bình,63
Hà Giang,72
Thái Bình,8
Lạng Sơn,110
Sơn La,198
Cần Thơ,2
Vĩnh Long,0
Ninh Bình,9
Quảng Bình,164
Hậu Giang,5
Hà Nội,36
Bắc Ninh,22
Bình Phước,61
Hà Nam,15
Tây Ninh,40
Bình Dương,38
Nam Định,7
Yên Bái,18
An Giang,85
