province,fire
Trà Vinh,4
Phú Thọ,164
Cà Mau,413
Thanh Hoá,138
Ninh Thuận,1048
Hồ Chí Minh,14
Quảng Nam,727
Bình Định,68
Bắc Giang,224
Đồng Nai,254
Bắc Kạn,26
Nghệ An,305
Bình Thuận,2403
Tiền Giang,551
Đắk Nông,567
Quảng Trị,431
Long An,1150
Điện Biên,2153
Lai Châu,325
Quảng Ngãi,453
Hà Tĩnh,136
Thái Nguyên,76
Đồng Tháp,2128
Sóc Trăng,43
Lâm Đồng,1385
Khánh Hòa,79
Kiên Giang,1136
Thừa Thiên Huế,292
Quảng Ninh,486
Bến Tre,28
Gia Lai,4637
Vĩnh Phúc,0
Lào Cai,160
Hưng Yên,0
Bà Rịa-Vũng Tàu,197
Phú Yên,36
Cao Bằng,201
Hải Phòng,0
Tuyên Quang,156
Đắk Lắk,4110
Hải Dương,0
Kon Tum,3478
Bạc Liêu,32
Đà Nẵng,100
Hòa Bình,232
Hà Giang,150
Thái Bình,0
Lạng Sơn,186
Sơn La,1715
Cần Thơ,1270
Vĩnh Long,222
Ninh Bình,0
Quảng Bình,166
Hậu Giang,43
Hà Nội,0
Bắc Ninh,0
Bình Phước,271
Hà Nam,3
Tây Ninh,354
Bình Dương,80
Nam Định,0
Yên Bái,86
An Giang,1054
