province,fire
Trà Vinh,0
Phú Thọ,2
Cà Mau,0
Thanh Hoá,69
Ninh Thuận,1
Hồ Chí Minh,0
Quảng Nam,101
Bình Định,19
Bắc Giang,6
Đồng Nai,10
Bắc Kạn,22
Nghệ An,98
Bình Thuận,2
Tiền Giang,0
Đắk Nông,10
Quảng Trị,0
Long An,4
Điện Biên,24
Lai Châu,52
Quảng Ngãi,57
Hà Tĩnh,9
Thái Nguyên,6
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,26
Khánh Hòa,8
Kiên Giang,2
Thừa Thiên Huế,4
Quảng Ninh,79
Bến Tre,0
Gia Lai,20
Vĩnh Phúc,0
Lào Cai,16
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,2
Cao Bằng,10
Hải Phòng,0
Tuyên Quang,21
Đắk Lắk,22
Hải Dương,0
Kon Tum,33
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,8
Hà Giang,13
Thái Bình,0
Lạng Sơn,15
Sơn La,37
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,8
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,8
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,17
An Giang,1
