province,fire
Trà Vinh,0
Phú Thọ,16
Cà Mau,0
Thanh Hoá,11
Ninh Thuận,5
Hồ Chí Minh,1
Quảng Nam,11
Bình Định,2
Bắc Giang,6
Đồng Nai,8
Bắc Kạn,2
Nghệ An,35
Bình Thuận,35
Tiền Giang,0
Đắk Nông,95
Quảng Trị,0
Long An,2
Điện Biên,47
Lai Châu,10
Quảng Ngãi,13
Hà Tĩnh,15
Thái Nguyên,4
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,39
Khánh Hòa,3
Kiên Giang,2
Thừa Thiên Huế,7
Quảng Ninh,87
Bến Tre,0
Gia Lai,109
Vĩnh Phúc,2
Lào Cai,1
Hưng Yên,0
Bà Rịa-Vũng Tàu,2
Phú Yên,5
Cao Bằng,1
Hải Phòng,0
Tuyên Quang,2
Đắk Lắk,350
Hải Dương,1
Kon Tum,18
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,12
Hà Giang,5
Thái Bình,0
Lạng Sơn,22
Sơn La,55
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,4
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,6
Hà Nam,0
Tây Ninh,1
Bình Dương,0
Nam Định,0
Yên Bái,13
An Giang,0
