province,fire
Trà Vinh,0
Phú Thọ,0
Cà Mau,0
Thanh Hoá,6
Ninh Thuận,1
Hồ Chí Minh,0
Quảng Nam,39
Bình Định,39
Bắc Giang,4
Đồng Nai,0
Bắc Kạn,4
Nghệ An,160
Bình Thuận,1
Tiền Giang,0
Đắk Nông,1
Quảng Trị,0
Long An,0
Điện Biên,0
Lai Châu,0
Quảng Ngãi,26
Hà Tĩnh,2
Thái Nguyên,0
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,0
Khánh Hòa,6
Kiên Giang,0
Thừa Thiên Huế,4
Quảng Ninh,31
Bến Tre,0
Gia Lai,4
Vĩnh Phúc,0
Lào Cai,1
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,14
Cao Bằng,1
Hải Phòng,0
Tuyên Quang,4
Đắk Lắk,3
Hải Dương,0
Kon Tum,1
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,1
Hà Giang,6
Thái Bình,0
Lạng Sơn,5
Sơn La,4
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,14
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,3
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,1
An Giang,0
