province,fire
Trà Vinh,6
Phú Thọ,24
Cà Mau,16
Thanh Hoá,216
Ninh Thuận,116
Hồ Chí Minh,66
Quảng Nam,230
Bình Định,171
Bắc Giang,43
Đồng Nai,195
Bắc Kạn,25
Nghệ An,154
Bình Thuận,148
Tiền Giang,55
Đắk Nông,118
Quảng Trị,104
Long An,117
Điện Biên,81
Lai Châu,22
Quảng Ngãi,189
Hà Tĩnh,84
Thái Nguyên,44
Đồng Tháp,108
Sóc Trăng,20
Lâm Đồng,240
Khánh Hòa,151
Kiên Giang,116
Thừa Thiên Huế,91
Quảng Ninh,69
Bến Tre,18
Gia Lai,73
Vĩnh Phúc,8
Lào Cai,3
Hưng Yên,4
Bà Rịa-Vũng Tàu,65
Phú Yên,148
Cao Bằng,10
Hải Phòng,36
Tuyên Quang,37
Đắk Lắk,172
Hải Dương,54
Kon Tum,16
Bạc Liêu,2
Đà Nẵng,54
Hòa Bình,26
Hà Giang,12
Thái Bình,14
Lạng Sơn,70
Sơn La,72
Cần Thơ,0
Vĩnh Long,1
Ninh Bình,25
Quảng Bình,146
Hậu Giang,9
Hà Nội,15
Bắc Ninh,14
Bình Phước,129
Hà Nam,37
Tây Ninh,170
Bình Dương,76
Nam Định,9
Yên Bái,27
An Giang,74
