province,fire
Trà Vinh,2
Phú Thọ,5
Cà Mau,4
Thanh Hoá,44
Ninh Thuận,24
Hồ Chí Minh,22
Quảng Nam,213
Bình Định,143
Bắc Giang,7
Đồng Nai,45
Bắc Kạn,0
Nghệ An,22
Bình Thuận,46
Tiền Giang,19
Đắk Nông,0
Quảng Trị,63
Long An,83
Điện Biên,2
Lai Châu,4
Quảng Ngãi,123
Hà Tĩnh,53
Thái Nguyên,7
Đồng Tháp,59
Sóc Trăng,2
Lâm Đồng,6
Khánh Hòa,216
Kiên Giang,10
Thừa Thiên Huế,76
Quảng Ninh,20
Bến Tre,4
Gia Lai,34
Vĩnh Phúc,4
Lào Cai,5
Hưng Yên,2
Bà Rịa-Vũng Tàu,31
Phú Yên,207
Cao Bằng,1
Hải Phòng,8
Tuyên Quang,5
Đắk Lắk,97
Hải Dương,31
Kon Tum,0
Bạc Liêu,0
Đà Nẵng,16
Hòa Bình,2
Hà Giang,1
Thái Bình,2
Lạng Sơn,5
Sơn La,7
Cần Thơ,1
Vĩnh Long,0
Ninh Bình,7
Quảng Bình,117
Hậu Giang,1
Hà Nội,18
Bắc Ninh,18
Bình Phước,10
Hà Nam,10
Tây Ninh,33
Bình Dương,24
Nam Định,7
Yên Bái,0
An Giang,142
