province,fire
Trà Vinh,0
Phú Thọ,8
Cà Mau,0
Thanh Hoá,5
Ninh Thuận,7
Hồ Chí Minh,1
Quảng Nam,22
Bình Định,2
Bắc Giang,1
Đồng Nai,10
Bắc Kạn,0
Nghệ An,17
Bình Thuận,47
Tiền Giang,0
Đắk Nông,212
Quảng Trị,0
Long An,0
Điện Biên,142
Lai Châu,51
Quảng Ngãi,19
Hà Tĩnh,0
Thái Nguyên,1
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,70
Khánh Hòa,5
Kiên Giang,0
Thừa Thiên Huế,14
Quảng Ninh,18
Bến Tre,0
Gia Lai,286
Vĩnh Phúc,0
Lào Cai,0
Hưng Yên,0
Bà Rịa-Vũng Tàu,2
Phú Yên,0
Cao Bằng,1
Hải Phòng,0
Tuyên Quang,10
Đắk Lắk,528
Hải Dương,0
Kon Tum,262
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,7
Hà Giang,1
Thái Bình,0
Lạng Sơn,1
Sơn La,93
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,14
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,90
Hà Nam,0
Tây Ninh,2
Bình Dương,2
Nam Định,0
Yên Bái,16
An Giang,0
