province,fire
Trà Vinh,0
Phú Thọ,43
Cà Mau,3
Thanh Hoá,34
Ninh Thuận,42
Hồ Chí Minh,2
Quảng Nam,9
Bình Định,11
Bắc Giang,55
Đồng Nai,12
Bắc Kạn,59
Nghệ An,78
Bình Thuận,157
Tiền Giang,0
Đắk Nông,125
Quảng Trị,0
Long An,4
Điện Biên,78
Lai Châu,20
Quảng Ngãi,19
Hà Tĩnh,38
Thái Nguyên,72
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,30
Khánh Hòa,3
Kiên Giang,3
Thừa Thiên Huế,18
Quảng Ninh,82
Bến Tre,0
Gia Lai,131
Vĩnh Phúc,3
Lào Cai,18
Hưng Yên,0
Bà Rịa-Vũng Tàu,2
Phú Yên,2
Cao Bằng,65
Hải Phòng,0
Tuyên Quang,31
Đắk Lắk,112
Hải Dương,0
Kon Tum,113
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,35
Hà Giang,12
Thái Bình,0
Lạng Sơn,61
Sơn La,91
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,4
Quảng Bình,75
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,22
Hà Nam,0
Tây Ninh,8
Bình Dương,2
Nam Định,0
Yên Bái,20
An Giang,4
