province,fire
Trà Vinh,45
Phú Thọ,27
Cà Mau,31
Thanh Hoá,81
Ninh Thuận,52
Hồ Chí Minh,59
Quảng Nam,20
Bình Định,17
Bắc Giang,52
Đồng Nai,166
Bắc Kạn,2
Nghệ An,223
Bình Thuận,251
Tiền Giang,30
Đắk Nông,158
Quảng Trị,34
Long An,101
Điện Biên,457
Lai Châu,129
Quảng Ngãi,16
Hà Tĩnh,65
Thái Nguyên,18
Đồng Tháp,75
Sóc Trăng,75
Lâm Đồng,131
Khánh Hòa,21
Kiên Giang,179
Thừa Thiên Huế,23
Quảng Ninh,69
Bến Tre,47
Gia Lai,603
Vĩnh Phúc,4
Lào Cai,42
Hưng Yên,1
Bà Rịa-Vũng Tàu,69
Phú Yên,29
Cao Bằng,16
Hải Phòng,5
Tuyên Quang,25
Đắk Lắk,1087
Hải Dương,8
Kon Tum,190
Bạc Liêu,27
Đà Nẵng,5
Hòa Bình,26
Hà Giang,21
Thái Bình,5
Lạng Sơn,65
Sơn La,363
Cần Thơ,2
Vĩnh Long,0
Ninh Bình,2
Quảng Bình,92
Hậu Giang,18
Hà Nội,11
Bắc Ninh,5
Bình Phước,131
Hà Nam,6
Tây Ninh,113
Bình Dương,70
Nam Định,3
Yên Bái,43
An Giang,160
