province,fire
Trà Vinh,0
Phú Thọ,9
Cà Mau,2
Thanh Hoá,14
Ninh Thuận,43
Hồ Chí Minh,0
Quảng Nam,94
Bình Định,25
Bắc Giang,9
Đồng Nai,2
Bắc Kạn,1
Nghệ An,88
Bình Thuận,244
Tiền Giang,0
Đắk Nông,458
Quảng Trị,0
Long An,7
Điện Biên,781
Lai Châu,327
Quảng Ngãi,61
Hà Tĩnh,18
Thái Nguyên,7
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,128
Khánh Hòa,12
Kiên Giang,4
Thừa Thiên Huế,16
Quảng Ninh,4
Bến Tre,0
Gia Lai,1152
Vĩnh Phúc,1
Lào Cai,12
Hưng Yên,0
Bà Rịa-Vũng Tàu,4
Phú Yên,12
Cao Bằng,21
Hải Phòng,0
Tuyên Quang,8
Đắk Lắk,1255
Hải Dương,0
Kon Tum,492
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,9
Hà Giang,20
Thái Bình,0
Lạng Sơn,12
Sơn La,452
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,4
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,5
Hà Nam,0
Tây Ninh,1
Bình Dương,0
Nam Định,0
Yên Bái,13
An Giang,0
