province,fire
Trà Vinh,0
Phú Thọ,17
Cà Mau,0
Thanh Hoá,23
Ninh Thuận,1
Hồ Chí Minh,0
Quảng Nam,15
Bình Định,7
Bắc Giang,14
Đồng Nai,6
Bắc Kạn,24
Nghệ An,34
Bình Thuận,12
Tiền Giang,0
Đắk Nông,79
Quảng Trị,0
Long An,0
Điện Biên,103
Lai Châu,46
Quảng Ngãi,7
Hà Tĩnh,21
Thái Nguyên,20
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,49
Khánh Hòa,3
Kiên Giang,4
Thừa Thiên Huế,14
Quảng Ninh,145
Bến Tre,0
Gia Lai,67
Vĩnh Phúc,4
Lào Cai,16
Hưng Yên,0
Bà Rịa-Vũng Tàu,3
Phú Yên,2
Cao Bằng,17
Hải Phòng,0
Tuyên Quang,25
Đắk Lắk,317
Hải Dương,0
Kon Tum,22
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,30
Hà Giang,15
Thái Bình,0
Lạng Sơn,62
Sơn La,83
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,15
Hậu Giang,0
Hà Nội,1
Bắc Ninh,0
Bình Phước,6
Hà Nam,0
Tây Ninh,5
Bình Dương,0
Nam Định,0
Yên Bái,26
An Giang,0
