province,fire
Trà Vinh,0
Phú Thọ,0
Cà Mau,3
Thanh Hoá,4
Ninh Thuận,2
Hồ Chí Minh,1
Quảng Nam,3
Bình Định,2
Bắc Giang,0
Đồng Nai,6
Bắc Kạn,0
Nghệ An,3
Bình Thuận,33
Tiền Giang,0
Đắk Nông,69
Quảng Trị,0
Long An,0
Điện Biên,18
Lai Châu,4
Quảng Ngãi,2
Hà Tĩnh,0
Thái Nguyên,0
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,45
Khánh Hòa,1
Kiên Giang,5
Thừa Thiên Huế,1
Quảng Ninh,8
Bến Tre,0
Gia Lai,76
Vĩnh Phúc,0
Lào Cai,0
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,1
Cao Bằng,0
Hải Phòng,0
Tuyên Quang,0
Đắk Lắk,273
Hải Dương,0
Kon Tum,101
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,2
Hà Giang,0
Thái Bình,0
Lạng Sơn,0
Sơn La,10
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,3
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,10
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,0
An Giang,0
