province,fire
Trà Vinh,0
Phú Thọ,4
Cà Mau,0
Thanh Hoá,5
Ninh Thuận,0
Hồ Chí Minh,0
Quảng Nam,2
Bình Định,6
Bắc Giang,4
Đồng Nai,1
Bắc Kạn,0
Nghệ An,11
Bình Thuận,1
Tiền Giang,0
Đắk Nông,3
Quảng Trị,0
Long An,0
Điện Biên,36
Lai Châu,3
Quảng Ngãi,5
Hà Tĩnh,2
Thái Nguyên,0
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,1
Khánh Hòa,2
Kiên Giang,0
Thừa Thiên Huế,11
Quảng Ninh,0
Bến Tre,0
Gia Lai,3
Vĩnh Phúc,0
Lào Cai,0
Hưng Yên,0
Bà Rịa-Vũng Tàu,1
Phú Yên,0
Cao Bằng,1
Hải Phòng,0
Tuyên Quang,0
Đắk Lắk,0
Hải Dương,0
Kon Tum,0
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,3
Hà Giang,1
Thái Bình,0
Lạng Sơn,3
Sơn La,10
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,2
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,0
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,3
An Giang,0
