province,fire
Trà Vinh,0
Phú Thọ,6
Cà Mau,5
Thanh Hoá,0
Ninh Thuận,0
Hồ Chí Minh,0
Quảng Nam,6
Bình Định,2
Bắc Giang,0
Đồng Nai,1
Bắc Kạn,38
Nghệ An,45
Bình Thuận,2
Tiền Giang,0
Đắk Nông,6
Quảng Trị,0
Long An,0
Điện Biên,36
Lai Châu,33
Quảng Ngãi,5
Hà Tĩnh,2
Thái Nguyên,5
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,2
Khánh Hòa,3
Kiên Giang,1
Thừa Thiên Huế,1
Quảng Ninh,9
Bến Tre,0
Gia Lai,7
Vĩnh Phúc,0
Lào Cai,19
Hưng Yên,0
Bà Rịa-Vũng Tàu,1
Phú Yên,12
Cao Bằng,33
Hải Phòng,0
Tuyên Quang,37
Đắk Lắk,18
Hải Dương,0
Kon Tum,13
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,2
Hà Giang,1
Thái Bình,0
Lạng Sơn,37
Sơn La,34
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,14
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,7
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,39
An Giang,0
