province,fire
Trà Vinh,0
Phú Thọ,1
Cà Mau,7
Thanh Hoá,3
Ninh Thuận,0
Hồ Chí Minh,1
Quảng Nam,58
Bình Định,102
Bắc Giang,0
Đồng Nai,0
Bắc Kạn,0
Nghệ An,21
Bình Thuận,0
Tiền Giang,0
Đắk Nông,0
Quảng Trị,0
Long An,2
Điện Biên,0
Lai Châu,0
Quảng Ngãi,41
Hà Tĩnh,18
Thái Nguyên,0
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,0
Khánh Hòa,8
Kiên Giang,0
Thừa Thiên Huế,25
Quảng Ninh,1
Bến Tre,0
Gia Lai,3
Vĩnh Phúc,0
Lào Cai,0
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,29
Cao Bằng,0
Hải Phòng,0
Tuyên Quang,2
Đắk Lắk,11
Hải Dương,0
Kon Tum,0
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,3
Hà Giang,0
Thái Bình,0
Lạng Sơn,0
Sơn La,0
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,17
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,0
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,1
An Giang,0
