province,fire
Trà Vinh,0
Phú Thọ,2
Cà Mau,0
Thanh Hoá,0
Ninh Thuận,1
Hồ Chí Minh,0
Quảng Nam,0
Bình Định,0
Bắc Giang,0
Đồng Nai,1
Bắc Kạn,0
Nghệ An,2
Bình Thuận,11
Tiền Giang,0
Đắk Nông,8
Quảng Trị,0
Long An,0
Điện Biên,23
Lai Châu,11
Quảng Ngãi,0
Hà Tĩnh,3
Thái Nguyên,0
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,5
Khánh Hòa,0
Kiên Giang,0
Thừa Thiên Huế,0
Quảng Ninh,6
Bến Tre,0
Gia Lai,6
Vĩnh Phúc,0
Lào Cai,1
Hưng Yên,0
Bà Rịa-Vũng Tàu,4
Phú Yên,0
Cao Bằng,2
Hải Phòng,0
Tuyên Quang,1
Đắk Lắk,42
Hải Dương,0
Kon Tum,3
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,1
Hà Giang,0
Thái Bình,0
Lạng Sơn,11
Sơn La,21
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,7
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,18
Hà Nam,0
Tây Ninh,3
Bình Dương,0
Nam Định,0
Yên Bái,6
An Giang,1
