province,fire
Trà Vinh,7
Phú Thọ,29
Cà Mau,56
Thanh Hoá,46
Ninh Thuận,10
Hồ Chí Minh,42
Quảng Nam,31
Bình Định,4
Bắc Giang,19
Đồng Nai,111
Bắc Kạn,5
Nghệ An,55
Bình Thuận,103
Tiền Giang,44
Đắk Nông,13
Quảng Trị,7
Long An,115
Điện Biên,376
Lai Châu,89
Quảng Ngãi,8
Hà Tĩnh,13
Thái Nguyên,26
Đồng Tháp,92
Sóc Trăng,21
Lâm Đồng,27
Khánh Hòa,15
Kiên Giang,105
Thừa Thiên Huế,14
Quảng Ninh,37
Bến Tre,12
Gia Lai,25
Vĩnh Phúc,4
Lào Cai,41
Hưng Yên,5
Bà Rịa-Vũng Tàu,46
Phú Yên,30
Cao Bằng,7
Hải Phòng,26
Tuyên Quang,36
Đắk Lắk,50
Hải Dương,37
Kon Tum,15
Bạc Liêu,28
Đà Nẵng,1
Hòa Bình,18
Hà Giang,24
Thái Bình,0
Lạng Sơn,21
Sơn La,172
Cần Thơ,2
Vĩnh Long,0
Ninh Bình,19
Quảng Bình,13
Hậu Giang,13
Hà Nội,15
Bắc Ninh,16
Bình Phước,40
Hà Nam,26
Tây Ninh,50
Bình Dương,23
Nam Định,0
Yên Bái,44
An Giang,133
