province,fire
Trà Vinh,0
Phú Thọ,7
Cà Mau,2
Thanh Hoá,25
Ninh Thuận,11
Hồ Chí Minh,0
Quảng Nam,66
Bình Định,10
Bắc Giang,0
Đồng Nai,12
Bắc Kạn,19
Nghệ An,69
Bình Thuận,22
Tiền Giang,0
Đắk Nông,109
Quảng Trị,0
Long An,2
Điện Biên,676
Lai Châu,488
Quảng Ngãi,16
Hà Tĩnh,2
Thái Nguyên,1
Đồng Tháp,4
Sóc Trăng,0
Lâm Đồng,99
Khánh Hòa,8
Kiên Giang,7
Thừa Thiên Huế,8
Quảng Ninh,3
Bến Tre,0
Gia Lai,251
Vĩnh Phúc,0
Lào Cai,36
Hưng Yên,0
Bà Rịa-Vũng Tàu,12
Phú Yên,5
Cao Bằng,25
Hải Phòng,0
Tuyên Quang,24
Đắk Lắk,141
Hải Dương,0
Kon Tum,848
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,6
Hà Giang,27
Thái Bình,0
Lạng Sơn,2
Sơn La,469
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,3
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,36
Hà Nam,0
Tây Ninh,1
Bình Dương,0
Nam Định,0
Yên Bái,28
An Giang,0
