province,fire
Trà Vinh,0
Phú Thọ,3
Cà Mau,4
Thanh Hoá,58
Ninh Thuận,2
Hồ Chí Minh,0
Quảng Nam,216
Bình Định,44
Bắc Giang,5
Đồng Nai,7
Bắc Kạn,27
Nghệ An,176
Bình Thuận,1
Tiền Giang,0
Đắk Nông,6
Quảng Trị,0
Long An,1
Điện Biên,4
Lai Châu,11
Quảng Ngãi,69
Hà Tĩnh,8
Thái Nguyên,1
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,14
Khánh Hòa,18
Kiên Giang,0
Thừa Thiên Huế,4
Quảng Ninh,26
Bến Tre,0
Gia Lai,8
Vĩnh Phúc,0
Lào Cai,3
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,7
Cao Bằng,1
Hải Phòng,0
Tuyên Quang,3
Đắk Lắk,8
Hải Dương,0
Kon Tum,37
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,5
Hà Giang,1
Thái Bình,0
Lạng Sơn,3
Sơn La,19
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,14
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,4
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,0
An Giang,0
