province,fire
Trà Vinh,0
Phú Thọ,2
Cà Mau,0
Thanh Hoá,0
Ninh Thuận,3
Hồ Chí Minh,0
Quảng Nam,1
Bình Định,0
Bắc Giang,0
Đồng Nai,0
Bắc Kạn,1
Nghệ An,8
Bình Thuận,12
Tiền Giang,0
Đắk Nông,12
Quảng Trị,0
Long An,0
Điện Biên,9
Lai Châu,7
Quảng Ngãi,1
Hà Tĩnh,1
Thái Nguyên,1
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,13
Khánh Hòa,0
Kiên Giang,0
Thừa Thiên Huế,1
Quảng Ninh,11
Bến Tre,0
Gia Lai,18
Vĩnh Phúc,0
Lào Cai,1
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,0
Cao Bằng,1
Hải Phòng,0
Tuyên Quang,0
Đắk Lắk,41
Hải Dương,0
Kon Tum,15
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,3
Hà Giang,0
Thái Bình,0
Lạng Sơn,12
Sơn La,10
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,7
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,27
Hà Nam,0
Tây Ninh,1
Bình Dương,1
Nam Định,0
Yên Bái,2
An Giang,0
