province,fire
Trà Vinh,0
Phú Thọ,19
Cà Mau,2
Thanh Hoá,759
Ninh Thuận,11
Hồ Chí Minh,14
Quảng Nam,252
Bình Định,40
Bắc Giang,76
Đồng Nai,22
Bắc Kạn,100
Nghệ An,1079
Bình Thuận,25
Tiền Giang,1
Đắk Nông,20
Quảng Trị,2
Long An,7
Điện Biên,133
Lai Châu,156
Quảng Ngãi,78
Hà Tĩnh,4
Thái Nguyên,86
Đồng Tháp,5
Sóc Trăng,0
Lâm Đồng,3
Khánh Hòa,11
Kiên Giang,4
Thừa Thiên Huế,39
Quảng Ninh,237
Bến Tre,0
Gia Lai,102
Vĩnh Phúc,14
Lào Cai,42
Hưng Yên,8
Bà Rịa-Vũng Tàu,10
Phú Yên,41
Cao Bằng,49
Hải Phòng,7
Tuyên Quang,143
Đắk Lắk,20
Hải Dương,17
Kon Tum,32
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,54
Hà Giang,157
Thái Bình,6
Lạng Sơn,100
Sơn La,254
Cần Thơ,2
Vĩnh Long,0
Ninh Bình,8
Quảng Bình,98
Hậu Giang,1
Hà Nội,24
Bắc Ninh,16
Bình Phước,5
Hà Nam,6
Tây Ninh,4
Bình Dương,7
Nam Định,6
Yên Bái,39
An Giang,3
