province,fire
Trà Vinh,2
Phú Thọ,12
Cà Mau,7
Thanh Hoá,98
Ninh Thuận,20
Hồ Chí Minh,37
Quảng Nam,391
Bình Định,214
Bắc Giang,35
Đồng Nai,83
Bắc Kạn,13
Nghệ An,145
Bình Thuận,100
Tiền Giang,57
Đắk Nông,32
Quảng Trị,177
Long An,120
Điện Biên,135
Lai Châu,29
Quảng Ngãi,285
Hà Tĩnh,85
Thái Nguyên,31
Đồng Tháp,78
Sóc Trăng,0
Lâm Đồng,33
Khánh Hòa,40
Kiên Giang,46
Thừa Thiên Huế,164
Quảng Ninh,74
Bến Tre,22
Gia Lai,94
Vĩnh Phúc,7
Lào Cai,20
Hưng Yên,2
Bà Rịa-Vũng Tàu,70
Phú Yên,213
Cao Bằng,24
Hải Phòng,32
Tuyên Quang,28
Đắk Lắk,122
Hải Dương,81
Kon Tum,12
Bạc Liêu,2
Đà Nẵng,34
Hòa Bình,45
Hà Giang,32
Thái Bình,4
Lạng Sơn,20
Sơn La,84
Cần Thơ,2
Vĩnh Long,6
Ninh Bình,40
Quảng Bình,104
Hậu Giang,6
Hà Nội,24
Bắc Ninh,12
Bình Phước,24
Hà Nam,44
Tây Ninh,69
Bình Dương,42
Nam Định,0
Yên Bái,39
An Giang,17
