province,fire
Trà Vinh,4
Phú Thọ,1
Cà Mau,2
Thanh Hoá,25
Ninh Thuận,19
Hồ Chí Minh,1
Quảng Nam,33
Bình Định,33
Bắc Giang,15
Đồng Nai,18
Bắc Kạn,2
Nghệ An,22
Bình Thuận,55
Tiền Giang,3
Đắk Nông,17
Quảng Trị,22
Long An,6
Điện Biên,43
Lai Châu,7
Quảng Ngãi,73
Hà Tĩnh,13
Thái Nguyên,2
Đồng Tháp,15
Sóc Trăng,32
Lâm Đồng,119
Khánh Hòa,12
Kiên Giang,16
Thừa Thiên Huế,30
Quảng Ninh,65
Bến Tre,0
Gia Lai,52
Vĩnh Phúc,3
Lào Cai,3
Hưng Yên,0
Bà Rịa-Vũng Tàu,27
Phú Yên,3
Cao Bằng,4
Hải Phòng,2
Tuyên Quang,3
Đắk Lắk,175
Hải Dương,11
Kon Tum,28
Bạc Liêu,17
Đà Nẵng,0
Hòa Bình,5
Hà Giang,0
Thái Bình,1
Lạng Sơn,31
Sơn La,23
Cần Thơ,0
Vĩnh Long,1
Ninh Bình,3
Quảng Bình,13
Hậu Giang,0
Hà Nội,4
Bắc Ninh,1
Bình Phước,16
Hà Nam,7
Tây Ninh,34
Bình Dương,13
Nam Định,2
Yên Bái,4
An Giang,50
