province,fire
Trà Vinh,28
Phú Thọ,64
Cà Mau,19
Thanh Hoá,149
Ninh Thuận,49
Hồ Chí Minh,72
Quảng Nam,21
Bình Định,8
Bắc Giang,31
Đồng Nai,265
Bắc Kạn,11
Nghệ An,161
Bình Thuận,287
Tiền Giang,54
Đắk Nông,87
Quảng Trị,2
Long An,214
Điện Biên,248
Lai Châu,95
Quảng Ngãi,20
Hà Tĩnh,36
Thái Nguyên,38
Đồng Tháp,150
Sóc Trăng,43
Lâm Đồng,124
Khánh Hòa,24
Kiên Giang,138
Thừa Thiên Huế,0
Quảng Ninh,70
Bến Tre,26
Gia Lai,83
Vĩnh Phúc,21
Lào Cai,48
Hưng Yên,3
Bà Rịa-Vũng Tàu,80
Phú Yên,9
Cao Bằng,13
Hải Phòng,22
Tuyên Quang,33
Đắk Lắk,131
Hải Dương,36
Kon Tum,60
Bạc Liêu,21
Đà Nẵng,1
Hòa Bình,14
Hà Giang,24
Thái Bình,3
Lạng Sơn,101
Sơn La,231
Cần Thơ,1
Vĩnh Long,3
Ninh Bình,25
Quảng Bình,9
Hậu Giang,22
Hà Nội,16
Bắc Ninh,14
Bình Phước,157
Hà Nam,21
Tây Ninh,181
Bình Dương,93
Nam Định,1
Yên Bái,59
An Giang,619
