province,fire
Trà Vinh,0
Phú Thọ,0
Cà Mau,0
Thanh Hoá,0
Ninh Thuận,14
Hồ Chí Minh,0
Quảng Nam,14
Bình Định,4
Bắc Giang,0
Đồng Nai,6
Bắc Kạn,2
Nghệ An,3
Bình Thuận,10
Tiền Giang,0
Đắk Nông,21
Quảng Trị,0
Long An,3
Điện Biên,156
Lai Châu,168
Quảng Ngãi,3
Hà Tĩnh,0
Thái Nguyên,0
Đồng Tháp,1
Sóc Trăng,0
Lâm Đồng,20
Khánh Hòa,9
Kiên Giang,0
Thừa Thiên Huế,2
Quảng Ninh,2
Bến Tre,0
Gia Lai,53
Vĩnh Phúc,0
Lào Cai,4
Hưng Yên,0
Bà Rịa-Vũng Tàu,1
Phú Yên,6
Cao Bằng,7
Hải Phòng,0
Tuyên Quang,6
Đắk Lắk,43
Hải Dương,0
Kon Tum,66
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,0
Hà Giang,0
Thái Bình,0
Lạng Sơn,4
Sơn La,91
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,4
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,26
Hà Nam,0
Tây Ninh,0
Bình Dương,2
Nam Định,0
Yên Bái,4
An Giang,0
