province,fire
Trà Vinh,3
Phú Thọ,20
Cà Mau,3
Thanh Hoá,0
Ninh Thuận,64
Hồ Chí Minh,4
Quảng Nam,118
Bình Định,29
Bắc Giang,0
Đồng Nai,17
Bắc Kạn,38
Nghệ An,112
Bình Thuận,57
Tiền Giang,0
Đắk Nông,70
Quảng Trị,0
Long An,6
Điện Biên,292
Lai Châu,352
Quảng Ngãi,28
Hà Tĩnh,26
Thái Nguyên,7
Đồng Tháp,10
Sóc Trăng,2
Lâm Đồng,79
Khánh Hòa,20
Kiên Giang,14
Thừa Thiên Huế,45
Quảng Ninh,46
Bến Tre,1
Gia Lai,162
Vĩnh Phúc,0
Lào Cai,34
Hưng Yên,0
Bà Rịa-Vũng Tàu,8
Phú Yên,12
Cao Bằng,54
Hải Phòng,0
Tuyên Quang,68
Đắk Lắk,103
Hải Dương,0
Kon Tum,277
Bạc Liêu,1
Đà Nẵng,0
Hòa Bình,42
Hà Giang,0
Thái Bình,0
Lạng Sơn,59
Sơn La,381
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,3
Quảng Bình,44
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,92
Hà Nam,0
Tây Ninh,4
Bình Dương,2
Nam Định,0
Yên Bái,113
An Giang,1
