province,fire
Trà Vinh,71
Phú Thọ,294
Cà Mau,286
Thanh Hoá,800
Ninh Thuận,3809
Hồ Chí Minh,253
Quảng Nam,2290
Bình Định,306
Bắc Giang,440
Đồng Nai,940
Bắc Kạn,484
Nghệ An,1944
Bình Thuận,4751
Tiền Giang,1774
Đắk Nông,6912
Quảng Trị,1034
Long An,3671
Điện Biên,8681
Lai Châu,3455
Quảng Ngãi,1396
Hà Tĩnh,504
Thái Nguyên,411
Đồng Tháp,3868
Sóc Trăng,267
Lâm Đồng,3142
Khánh Hòa,728
Kiên Giang,5761
Thừa Thiên Huế,539
Quảng Ninh,1701
Bến Tre,19
Gia Lai,24140
Vĩnh Phúc,29
Lào Cai,845
Hưng Yên,74
Bà Rịa-Vũng Tàu,522
Phú Yên,618
Cao Bằng,889
Hải Phòng,132
Tuyên Quang,592
Đắk Lắk,11828
Hải Dương,308
Kon Tum,17369
Bạc Liêu,165
Đà Nẵng,116
Hòa Bình,329
Hà Giang,584
Thái Bình,45
Lạng Sơn,1585
Sơn La,7371
Cần Thơ,4245
Vĩnh Long,543
Ninh Bình,75
Quảng Bình,971
Hậu Giang,1613
Hà Nội,34
Bắc Ninh,90
Bình Phước,1055
Hà Nam,133
Tây Ninh,1138
Bình Dương,589
Nam Định,73
Yên Bái,267
An Giang,3142
