province,fire
Trà Vinh,0
Phú Thọ,7
Cà Mau,3
Thanh Hoá,85
Ninh Thuận,35
Hồ Chí Minh,2
Quảng Nam,132
Bình Định,16
Bắc Giang,18
Đồng Nai,10
Bắc Kạn,63
Nghệ An,185
Bình Thuận,17
Tiền Giang,1
Đắk Nông,85
Quảng Trị,0
Long An,1
Điện Biên,360
Lai Châu,75
Quảng Ngãi,44
Hà Tĩnh,29
Thái Nguyên,17
Đồng Tháp,1
Sóc Trăng,0
Lâm Đồng,81
Khánh Hòa,46
Kiên Giang,7
Thừa Thiên Huế,10
Quảng Ninh,92
Bến Tre,0
Gia Lai,125
Vĩnh Phúc,1
Lào Cai,19
Hưng Yên,0
Bà Rịa-Vũng Tàu,1
Phú Yên,6
Cao Bằng,34
Hải Phòng,0
Tuyên Quang,46
Đắk Lắk,149
Hải Dương,1
Kon Tum,223
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,33
Hà Giang,25
Thái Bình,0
Lạng Sơn,44
Sơn La,202
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,42
Hậu Giang,0
Hà Nội,1
Bắc Ninh,0
Bình Phước,5
Hà Nam,0
Tây Ninh,0
Bình Dương,1
Nam Định,0
Yên Bái,21
An Giang,2
