province,fire
Trà Vinh,0
Phú Thọ,0
Cà Mau,0
Thanh Hoá,13
Ninh Thuận,8
Hồ Chí Minh,0
Quảng Nam,57
Bình Định,4
Bắc Giang,0
Đồng Nai,0
Bắc Kạn,6
Nghệ An,11
Bình Thuận,15
Tiền Giang,0
Đắk Nông,136
Quảng Trị,0
Long An,0
Điện Biên,70
Lai Châu,32
Quảng Ngãi,14
Hà Tĩnh,3
Thái Nguyên,0
Đồng Tháp,1
Sóc Trăng,0
Lâm Đồng,39
Khánh Hòa,7
Kiên Giang,1
Thừa Thiên Huế,6
Quảng Ninh,2
Bến Tre,0
Gia Lai,219
Vĩnh Phúc,0
Lào Cai,2
Hưng Yên,0
Bà Rịa-Vũng Tàu,6
Phú Yên,6
Cao Bằng,9
Hải Phòng,0
Tuyên Quang,9
Đắk Lắk,40
Hải Dương,0
Kon Tum,436
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,9
Hà Giang,10
Thái Bình,0
Lạng Sơn,5
Sơn La,43
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,14
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,56
Hà Nam,0
Tây Ninh,1
Bình Dương,2
Nam Định,0
Yên Bái,0
An Giang,0
