province,fire
Trà Vinh,0
Phú Thọ,0
Cà Mau,2
Thanh Hoá,7
Ninh Thuận,1
Hồ Chí Minh,0
Quảng Nam,40
Bình Định,55
Bắc Giang,1
Đồng Nai,0
Bắc Kạn,0
Nghệ An,77
Bình Thuận,0
Tiền Giang,0
Đắk Nông,0
Quảng Trị,0
Long An,0
Điện Biên,0
Lai Châu,0
Quảng Ngãi,39
Hà Tĩnh,21
Thái Nguyên,0
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,0
Khánh Hòa,28
Kiên Giang,3
Thừa Thiên Huế,4
Quảng Ninh,5
Bến Tre,0
Gia Lai,11
Vĩnh Phúc,0
Lào Cai,1
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,31
Cao Bằng,0
Hải Phòng,0
Tuyên Quang,6
Đắk Lắk,14
Hải Dương,0
Kon Tum,1
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,1
Hà Giang,5
Thái Bình,0
Lạng Sơn,3
Sơn La,0
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,4
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,1
Hà Nam,0
Tây Ninh,1
Bình Dương,0
Nam Định,0
Yên Bái,2
An Giang,0
