province,fire
Trà Vinh,0
Phú Thọ,0
Cà Mau,0
Thanh Hoá,1
Ninh Thuận,1
Hồ Chí Minh,1
Quảng Nam,24
Bình Định,56
Bắc Giang,0
Đồng Nai,0
Bắc Kạn,0
Nghệ An,2
Bình Thuận,0
Tiền Giang,0
Đắk Nông,0
Quảng Trị,0
Long An,1
Điện Biên,0
Lai Châu,0
Quảng Ngãi,30
Hà Tĩnh,6
Thái Nguyên,0
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,0
Khánh Hòa,14
Kiên Giang,0
Thừa Thiên Huế,9
Quảng Ninh,0
Bến Tre,0
Gia Lai,1
Vĩnh Phúc,0
Lào Cai,0
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,44
Cao Bằng,0
Hải Phòng,0
Tuyên Quang,0
Đắk Lắk,4
Hải Dương,0
Kon Tum,0
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,0
Hà Giang,0
Thái Bình,0
Lạng Sơn,0
Sơn La,0
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,2
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,0
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,0
An Giang,0
