province,fire
Trà Vinh,0
Phú Thọ,1
Cà Mau,0
Thanh Hoá,1
Ninh Thuận,1
Hồ Chí Minh,0
Quảng Nam,8
Bình Định,13
Bắc Giang,1
Đồng Nai,0
Bắc Kạn,0
Nghệ An,2
Bình Thuận,0
Tiền Giang,0
Đắk Nông,0
Quảng Trị,0
Long An,0
Điện Biên,16
Lai Châu,6
Quảng Ngãi,7
Hà Tĩnh,7
Thái Nguyên,0
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,1
Khánh Hòa,3
Kiên Giang,0
Thừa Thiên Huế,20
Quảng Ninh,3
Bến Tre,0
Gia Lai,5
Vĩnh Phúc,0
Lào Cai,0
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,3
Cao Bằng,2
Hải Phòng,0
Tuyên Quang,0
Đắk Lắk,1
Hải Dương,0
Kon Tum,0
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,1
Hà Giang,0
Thái Bình,0
Lạng Sơn,2
Sơn La,6
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,13
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,0
Hà Nam,0
Tây Ninh,1
Bình Dương,0
Nam Định,0
Yên Bái,4
An Giang,0
