province,fire
Trà Vinh,1
Phú Thọ,6
Cà Mau,2
Thanh Hoá,76
Ninh Thuận,16
Hồ Chí Minh,9
Quảng Nam,333
Bình Định,102
Bắc Giang,1
Đồng Nai,34
Bắc Kạn,3
Nghệ An,419
Bình Thuận,29
Tiền Giang,10
Đắk Nông,12
Quảng Trị,63
Long An,31
Điện Biên,1
Lai Châu,1
Quảng Ngãi,375
Hà Tĩnh,159
Thái Nguyên,11
Đồng Tháp,26
Sóc Trăng,1
Lâm Đồng,13
Khánh Hòa,73
Kiên Giang,11
Thừa Thiên Huế,59
Quảng Ninh,26
Bến Tre,0
Gia Lai,82
Vĩnh Phúc,7
Lào Cai,11
Hưng Yên,5
Bà Rịa-Vũng Tàu,15
Phú Yên,44
Cao Bằng,0
Hải Phòng,2
Tuyên Quang,14
Đắk Lắk,70
Hải Dương,15
Kon Tum,44
Bạc Liêu,1
Đà Nẵng,24
Hòa Bình,9
Hà Giang,11
Thái Bình,0
Lạng Sơn,9
Sơn La,24
Cần Thơ,0
Vĩnh Long,3
Ninh Bình,11
Quảng Bình,91
Hậu Giang,0
Hà Nội,20
Bắc Ninh,19
Bình Phước,26
Hà Nam,17
Tây Ninh,23
Bình Dương,22
Nam Định,26
Yên Bái,5
An Giang,12
