province,fire
Trà Vinh,0
Phú Thọ,1
Cà Mau,0
Thanh Hoá,55
Ninh Thuận,20
Hồ Chí Minh,0
Quảng Nam,226
Bình Định,26
Bắc Giang,4
Đồng Nai,2
Bắc Kạn,1
Nghệ An,124
Bình Thuận,5
Tiền Giang,0
Đắk Nông,28
Quảng Trị,0
Long An,6
Điện Biên,331
Lai Châu,132
Quảng Ngãi,129
Hà Tĩnh,18
Thái Nguyên,0
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,30
Khánh Hòa,36
Kiên Giang,3
Thừa Thiên Huế,14
Quảng Ninh,4
Bến Tre,0
Gia Lai,76
Vĩnh Phúc,0
Lào Cai,2
Hưng Yên,0
Bà Rịa-Vũng Tàu,1
Phú Yên,10
Cao Bằng,1
Hải Phòng,0
Tuyên Quang,4
Đắk Lắk,110
Hải Dương,0
Kon Tum,97
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,7
Hà Giang,1
Thái Bình,0
Lạng Sơn,0
Sơn La,100
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,38
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,2
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,4
An Giang,2
