province,fire
Trà Vinh,0
Phú Thọ,1
Cà Mau,0
Thanh Hoá,10
Ninh Thuận,3
Hồ Chí Minh,0
Quảng Nam,42
Bình Định,46
Bắc Giang,2
Đồng Nai,2
Bắc Kạn,0
Nghệ An,12
Bình Thuận,2
Tiền Giang,0
Đắk Nông,1
Quảng Trị,0
Long An,0
Điện Biên,15
Lai Châu,3
Quảng Ngãi,19
Hà Tĩnh,29
Thái Nguyên,3
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,1
Khánh Hòa,3
Kiên Giang,4
Thừa Thiên Huế,30
Quảng Ninh,7
Bến Tre,0
Gia Lai,3
Vĩnh Phúc,0
Lào Cai,1
Hưng Yên,0
Bà Rịa-Vũng Tàu,1
Phú Yên,8
Cao Bằng,1
Hải Phòng,0
Tuyên Quang,7
Đắk Lắk,1
Hải Dương,0
Kon Tum,0
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,3
Hà Giang,0
Thái Bình,0
Lạng Sơn,3
Sơn La,4
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,17
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,0
Hà Nam,0
Tây Ninh,1
Bình Dương,0
Nam Định,0
Yên Bái,3
An Giang,0
