province,fire
Trà Vinh,0
Phú Thọ,0
Cà Mau,0
Thanh Hoá,2
Ninh Thuận,1
Hồ Chí Minh,0
Quảng Nam,3
Bình Định,0
Bắc Giang,0
Đồng Nai,1
Bắc Kạn,0
Nghệ An,1
Bình Thuận,15
Tiền Giang,0
Đắk Nông,16
Quảng Trị,0
Long An,0
Điện Biên,67
Lai Châu,42
Quảng Ngãi,2
Hà Tĩnh,0
Thái Nguyên,0
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,9
Khánh Hòa,0
Kiên Giang,6
Thừa Thiên Huế,0
Quảng Ninh,1
Bến Tre,0
Gia Lai,86
Vĩnh Phúc,0
Lào Cai,3
Hưng Yên,0
Bà Rịa-Vũng Tàu,10
Phú Yên,0
Cao Bằng,0
Hải Phòng,0
Tuyên Quang,0
Đắk Lắk,215
Hải Dương,0
Kon Tum,202
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,0
Hà Giang,0
Thái Bình,0
Lạng Sơn,0
Sơn La,20
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,0
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,8
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,1
An Giang,0
