province,fire
Trà Vinh,16
Phú Thọ,33
Cà Mau,29
Thanh Hoá,50
Ninh Thuận,12
Hồ Chí Minh,25
Quảng Nam,62
Bình Định,70
Bắc Giang,36
Đồng Nai,52
Bắc Kạn,25
Nghệ An,17
Bình Thuận,39
Tiền Giang,20
Đắk Nông,27
Quảng Trị,12
Long An,62
Điện Biên,210
Lai Châu,64
Quảng Ngãi,83
Hà Tĩnh,23
Thái Nguyên,44
Đồng Tháp,44
Sóc Trăng,21
Lâm Đồng,10
Khánh Hòa,76
Kiên Giang,71
Thừa Thiên Huế,38
Quảng Ninh,48
Bến Tre,26
Gia Lai,43
Vĩnh Phúc,2
Lào Cai,27
Hưng Yên,3
Bà Rịa-Vũng Tàu,30
Phú Yên,72
Cao Bằng,37
Hải Phòng,10
Tuyên Quang,36
Đắk Lắk,175
Hải Dương,41
Kon Tum,12
Bạc Liêu,23
Đà Nẵng,8
Hòa Bình,4
Hà Giang,65
Thái Bình,2
Lạng Sơn,68
Sơn La,108
Cần Thơ,1
Vĩnh Long,3
Ninh Bình,10
Quảng Bình,21
Hậu Giang,24
Hà Nội,21
Bắc Ninh,22
Bình Phước,22
Hà Nam,17
Tây Ninh,21
Bình Dương,18
Nam Định,2
Yên Bái,48
An Giang,50
