province,fire
Trà Vinh,29
Phú Thọ,9
Cà Mau,63
Thanh Hoá,38
Ninh Thuận,71
Hồ Chí Minh,74
Quảng Nam,25
Bình Định,52
Bắc Giang,23
Đồng Nai,283
Bắc Kạn,5
Nghệ An,99
Bình Thuận,409
Tiền Giang,29
Đắk Nông,275
Quảng Trị,43
Long An,278
Điện Biên,180
Lai Châu,51
Quảng Ngãi,45
Hà Tĩnh,19
Thái Nguyên,17
Đồng Tháp,568
Sóc Trăng,98
Lâm Đồng,274
Khánh Hòa,33
Kiên Giang,131
Thừa Thiên Huế,18
Quảng Ninh,96
Bến Tre,19
Gia Lai,1021
Vĩnh Phúc,5
Lào Cai,7
Hưng Yên,2
Bà Rịa-Vũng Tàu,133
Phú Yên,54
Cao Bằng,1
Hải Phòng,2
Tuyên Quang,11
Đắk Lắk,1590
Hải Dương,5
Kon Tum,428
Bạc Liêu,62
Đà Nẵng,3
Hòa Bình,11
Hà Giang,4
Thái Bình,0
Lạng Sơn,22
Sơn La,154
Cần Thơ,1
Vĩnh Long,11
Ninh Bình,6
Quảng Bình,26
Hậu Giang,14
Hà Nội,7
Bắc Ninh,2
Bình Phước,220
Hà Nam,0
Tây Ninh,311
Bình Dương,157
Nam Định,0
Yên Bái,5
An Giang,163
