province,fire
Trà Vinh,0
Phú Thọ,0
Cà Mau,0
Thanh Hoá,0
Ninh Thuận,5
Hồ Chí Minh,0
Quảng Nam,11
Bình Định,0
Bắc Giang,0
Đồng Nai,7
Bắc Kạn,0
Nghệ An,16
Bình Thuận,14
Tiền Giang,0
Đắk Nông,35
Quảng Trị,0
Long An,0
Điện Biên,181
Lai Châu,212
Quảng Ngãi,0
Hà Tĩnh,3
Thái Nguyên,1
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,11
Khánh Hòa,1
Kiên Giang,0
Thừa Thiên Huế,7
Quảng Ninh,22
Bến Tre,0
Gia Lai,65
Vĩnh Phúc,0
Lào Cai,20
Hưng Yên,0
Bà Rịa-Vũng Tàu,1
Phú Yên,0
Cao Bằng,11
Hải Phòng,0
Tuyên Quang,2
Đắk Lắk,89
Hải Dương,0
Kon Tum,42
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,9
Hà Giang,0
Thái Bình,0
Lạng Sơn,10
Sơn La,224
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,8
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,16
Hà Nam,0
Tây Ninh,2
Bình Dương,0
Nam Định,0
Yên Bái,15
An Giang,0
