province,fire
Trà Vinh,0
Phú Thọ,1
Cà Mau,1
Thanh Hoá,29
Ninh Thuận,68
Hồ Chí Minh,1
Quảng Nam,238
Bình Định,13
Bắc Giang,1
Đồng Nai,8
Bắc Kạn,1
Nghệ An,126
Bình Thuận,30
Tiền Giang,0
Đắk Nông,238
Quảng Trị,0
Long An,2
Điện Biên,783
Lai Châu,618
Quảng Ngãi,59
Hà Tĩnh,13
Thái Nguyên,0
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,277
Khánh Hòa,42
Kiên Giang,2
Thừa Thiên Huế,13
Quảng Ninh,0
Bến Tre,0
Gia Lai,350
Vĩnh Phúc,0
Lào Cai,29
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,16
Cao Bằng,7
Hải Phòng,0
Tuyên Quang,2
Đắk Lắk,206
Hải Dương,0
Kon Tum,539
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,12
Hà Giang,5
Thái Bình,0
Lạng Sơn,0
Sơn La,487
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,30
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,6
Hà Nam,0
Tây Ninh,5
Bình Dương,0
Nam Định,0
Yên Bái,40
An Giang,0
