province,fire
Trà Vinh,0
Phú Thọ,15
Cà Mau,7
Thanh Hoá,63
Ninh Thuận,140
Hồ Chí Minh,1
Quảng Nam,247
Bình Định,95
Bắc Giang,39
Đồng Nai,41
Bắc Kạn,76
Nghệ An,96
Bình Thuận,82
Tiền Giang,0
Đắk Nông,95
Quảng Trị,0
Long An,6
Điện Biên,554
Lai Châu,188
Quảng Ngãi,70
Hà Tĩnh,18
Thái Nguyên,44
Đồng Tháp,4
Sóc Trăng,0
Lâm Đồng,95
Khánh Hòa,98
Kiên Giang,14
Thừa Thiên Huế,70
Quảng Ninh,71
Bến Tre,0
Gia Lai,135
Vĩnh Phúc,0
Lào Cai,9
Hưng Yên,0
Bà Rịa-Vũng Tàu,2
Phú Yên,61
Cao Bằng,50
Hải Phòng,0
Tuyên Quang,14
Đắk Lắk,160
Hải Dương,0
Kon Tum,283
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,29
Hà Giang,10
Thái Bình,0
Lạng Sơn,51
Sơn La,336
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,146
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,19
Hà Nam,0
Tây Ninh,10
Bình Dương,3
Nam Định,0
Yên Bái,22
An Giang,2
