province,fire
Trà Vinh,0
Phú Thọ,0
Cà Mau,0
Thanh Hoá,80
Ninh Thuận,4
Hồ Chí Minh,0
Quảng Nam,247
Bình Định,40
Bắc Giang,20
Đồng Nai,4
Bắc Kạn,20
Nghệ An,222
Bình Thuận,2
Tiền Giang,0
Đắk Nông,11
Quảng Trị,0
Long An,3
Điện Biên,5
Lai Châu,4
Quảng Ngãi,120
Hà Tĩnh,25
Thái Nguyên,2
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,24
Khánh Hòa,16
Kiên Giang,4
Thừa Thiên Huế,11
Quảng Ninh,96
Bến Tre,0
Gia Lai,6
Vĩnh Phúc,0
Lào Cai,5
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,12
Cao Bằng,19
Hải Phòng,0
Tuyên Quang,20
Đắk Lắk,23
Hải Dương,0
Kon Tum,12
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,5
Hà Giang,18
Thái Bình,0
Lạng Sơn,25
Sơn La,22
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,26
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,2
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,13
An Giang,2
