province,fire
Trà Vinh,0
Phú Thọ,5
Cà Mau,0
Thanh Hoá,4
Ninh Thuận,0
Hồ Chí Minh,0
Quảng Nam,0
Bình Định,0
Bắc Giang,8
Đồng Nai,2
Bắc Kạn,4
Nghệ An,0
Bình Thuận,2
Tiền Giang,0
Đắk Nông,7
Quảng Trị,0
Long An,0
Điện Biên,39
Lai Châu,6
Quảng Ngãi,0
Hà Tĩnh,0
Thái Nguyên,6
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,1
Khánh Hòa,0
Kiên Giang,10
Thừa Thiên Huế,0
Quảng Ninh,32
Bến Tre,0
Gia Lai,63
Vĩnh Phúc,1
Lào Cai,0
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,0
Cao Bằng,1
Hải Phòng,0
Tuyên Quang,0
Đắk Lắk,14
Hải Dương,0
Kon Tum,137
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,5
Hà Giang,2
Thái Bình,0
Lạng Sơn,18
Sơn La,32
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,0
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,30
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,5
An Giang,0
