province,fire
Trà Vinh,7
Phú Thọ,0
Cà Mau,8
Thanh Hoá,25
Ninh Thuận,34
Hồ Chí Minh,8
Quảng Nam,134
Bình Định,25
Bắc Giang,12
Đồng Nai,66
Bắc Kạn,17
Nghệ An,28
Bình Thuận,124
Tiền Giang,6
Đắk Nông,101
Quảng Trị,24
Long An,31
Điện Biên,230
Lai Châu,96
Quảng Ngãi,77
Hà Tĩnh,6
Thái Nguyên,4
Đồng Tháp,39
Sóc Trăng,39
Lâm Đồng,106
Khánh Hòa,31
Kiên Giang,46
Thừa Thiên Huế,6
Quảng Ninh,112
Bến Tre,5
Gia Lai,246
Vĩnh Phúc,0
Lào Cai,0
Hưng Yên,1
Bà Rịa-Vũng Tàu,25
Phú Yên,32
Cao Bằng,4
Hải Phòng,0
Tuyên Quang,6
Đắk Lắk,201
Hải Dương,6
Kon Tum,359
Bạc Liêu,32
Đà Nẵng,2
Hòa Bình,10
Hà Giang,3
Thái Bình,0
Lạng Sơn,49
Sơn La,108
Cần Thơ,0
Vĩnh Long,3
Ninh Bình,0
Quảng Bình,14
Hậu Giang,3
Hà Nội,1
Bắc Ninh,2
Bình Phước,32
Hà Nam,0
Tây Ninh,15
Bình Dương,22
Nam Định,0
Yên Bái,2
An Giang,64
