province,fire
Trà Vinh,0
Phú Thọ,7
Cà Mau,0
Thanh Hoá,8
Ninh Thuận,1
Hồ Chí Minh,0
Quảng Nam,1
Bình Định,5
Bắc Giang,8
Đồng Nai,0
Bắc Kạn,0
Nghệ An,15
Bình Thuận,7
Tiền Giang,0
Đắk Nông,9
Quảng Trị,0
Long An,0
Điện Biên,23
Lai Châu,9
Quảng Ngãi,3
Hà Tĩnh,2
Thái Nguyên,2
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,0
Khánh Hòa,0
Kiên Giang,0
Thừa Thiên Huế,22
Quảng Ninh,20
Bến Tre,0
Gia Lai,65
Vĩnh Phúc,0
Lào Cai,1
Hưng Yên,0
Bà Rịa-Vũng Tàu,2
Phú Yên,0
Cao Bằng,3
Hải Phòng,0
Tuyên Quang,0
Đắk Lắk,1
Hải Dương,3
Kon Tum,62
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,8
Hà Giang,1
Thái Bình,0
Lạng Sơn,4
Sơn La,18
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,1
Quảng Bình,19
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,20
Hà Nam,0
Tây Ninh,0
Bình Dương,4
Nam Định,0
Yên Bái,0
An Giang,0
