province,fire
Trà Vinh,0
Phú Thọ,1
Cà Mau,0
Thanh Hoá,3
Ninh Thuận,0
Hồ Chí Minh,0
Quảng Nam,55
Bình Định,14
Bắc Giang,5
Đồng Nai,4
Bắc Kạn,5
Nghệ An,75
Bình Thuận,2
Tiền Giang,0
Đắk Nông,0
Quảng Trị,0
Long An,0
Điện Biên,0
Lai Châu,0
Quảng Ngãi,37
Hà Tĩnh,9
Thái Nguyên,2
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,1
Khánh Hòa,7
Kiên Giang,5
Thừa Thiên Huế,9
Quảng Ninh,12
Bến Tre,0
Gia Lai,2
Vĩnh Phúc,0
Lào Cai,1
Hưng Yên,0
Bà Rịa-Vũng Tàu,2
Phú Yên,9
Cao Bằng,1
Hải Phòng,0
Tuyên Quang,5
Đắk Lắk,3
Hải Dương,0
Kon Tum,0
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,0
Hà Giang,12
Thái Bình,0
Lạng Sơn,1
Sơn La,0
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,1
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,0
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,7
An Giang,0
