province,fire
Trà Vinh,0
Phú Thọ,2
Cà Mau,0
Thanh Hoá,69
Ninh Thuận,25
Hồ Chí Minh,0
Quảng Nam,58
Bình Định,9
Bắc Giang,0
Đồng Nai,2
Bắc Kạn,10
Nghệ An,48
Bình Thuận,28
Tiền Giang,0
Đắk Nông,141
Quảng Trị,0
Long An,3
Điện Biên,200
Lai Châu,96
Quảng Ngãi,21
Hà Tĩnh,5
Thái Nguyên,2
Đồng Tháp,1
Sóc Trăng,0
Lâm Đồng,140
Khánh Hòa,45
Kiên Giang,0
Thừa Thiên Huế,8
Quảng Ninh,23
Bến Tre,0
Gia Lai,369
Vĩnh Phúc,0
Lào Cai,1
Hưng Yên,0
Bà Rịa-Vũng Tàu,4
Phú Yên,3
Cao Bằng,14
Hải Phòng,0
Tuyên Quang,4
Đắk Lắk,229
Hải Dương,0
Kon Tum,379
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,5
Hà Giang,4
Thái Bình,0
Lạng Sơn,6
Sơn La,98
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,15
Hậu Giang,1
Hà Nội,0
Bắc Ninh,0
Bình Phước,26
Hà Nam,0
Tây Ninh,1
Bình Dương,0
Nam Định,0
Yên Bái,1
An Giang,3
