province,fire
Trà Vinh,0
Phú Thọ,8
Cà Mau,3
Thanh Hoá,0
Ninh Thuận,5
Hồ Chí Minh,1
Quảng Nam,0
Bình Định,5
Bắc Giang,0
Đồng Nai,3
Bắc Kạn,4
Nghệ An,20
Bình Thuận,8
Tiền Giang,0
Đắk Nông,6
Quảng Trị,0
Long An,0
Điện Biên,13
Lai Châu,18
Quảng Ngãi,0
Hà Tĩnh,17
Thái Nguyên,2
Đồng Tháp,0
Sóc Trăng,3
Lâm Đồng,14
Khánh Hòa,1
Kiên Giang,6
Thừa Thiên Huế,1
Quảng Ninh,2
Bến Tre,0
Gia Lai,4
Vĩnh Phúc,0
Lào Cai,7
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,2
Cao Bằng,14
Hải Phòng,0
Tuyên Quang,2
Đắk Lắk,2
Hải Dương,0
Kon Tum,0
Bạc Liêu,1
Đà Nẵng,0
Hòa Bình,11
Hà Giang,0
Thái Bình,0
Lạng Sơn,14
Sơn La,41
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,2
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,8
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,15
An Giang,0
