province,fire
Trà Vinh,3
Phú Thọ,22
Cà Mau,1
Thanh Hoá,107
Ninh Thuận,18
Hồ Chí Minh,17
Quảng Nam,227
Bình Định,48
Bắc Giang,32
Đồng Nai,48
Bắc Kạn,7
Nghệ An,320
Bình Thuận,33
Tiền Giang,74
Đắk Nông,20
Quảng Trị,75
Long An,44
Điện Biên,1
Lai Châu,2
Quảng Ngãi,151
Hà Tĩnh,69
Thái Nguyên,25
Đồng Tháp,36
Sóc Trăng,5
Lâm Đồng,2
Khánh Hòa,86
Kiên Giang,30
Thừa Thiên Huế,22
Quảng Ninh,85
Bến Tre,4
Gia Lai,55
Vĩnh Phúc,18
Lào Cai,8
Hưng Yên,14
Bà Rịa-Vũng Tàu,21
Phú Yên,72
Cao Bằng,3
Hải Phòng,9
Tuyên Quang,47
Đắk Lắk,48
Hải Dương,30
Kon Tum,42
Bạc Liêu,2
Đà Nẵng,8
Hòa Bình,17
Hà Giang,53
Thái Bình,5
Lạng Sơn,31
Sơn La,18
Cần Thơ,24
Vĩnh Long,8
Ninh Bình,10
Quảng Bình,66
Hậu Giang,10
Hà Nội,42
Bắc Ninh,51
Bình Phước,27
Hà Nam,23
Tây Ninh,19
Bình Dương,30
Nam Định,8
Yên Bái,24
An Giang,6
