province,fire
Trà Vinh,0
Phú Thọ,3
Cà Mau,0
Thanh Hoá,38
Ninh Thuận,2
Hồ Chí Minh,0
Quảng Nam,97
Bình Định,14
Bắc Giang,8
Đồng Nai,0
Bắc Kạn,7
Nghệ An,276
Bình Thuận,5
Tiền Giang,0
Đắk Nông,0
Quảng Trị,0
Long An,0
Điện Biên,0
Lai Châu,1
Quảng Ngãi,65
Hà Tĩnh,9
Thái Nguyên,6
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,2
Khánh Hòa,4
Kiên Giang,0
Thừa Thiên Huế,5
Quảng Ninh,44
Bến Tre,0
Gia Lai,7
Vĩnh Phúc,0
Lào Cai,5
Hưng Yên,0
Bà Rịa-Vũng Tàu,1
Phú Yên,16
Cao Bằng,4
Hải Phòng,0
Tuyên Quang,7
Đắk Lắk,5
Hải Dương,0
Kon Tum,8
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,0
Hà Giang,18
Thái Bình,0
Lạng Sơn,5
Sơn La,2
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,10
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,0
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,13
An Giang,0
