province,fire
Trà Vinh,0
Phú Thọ,11
Cà Mau,0
Thanh Hoá,17
Ninh Thuận,0
Hồ Chí Minh,0
Quảng Nam,0
Bình Định,0
Bắc Giang,7
Đồng Nai,1
Bắc Kạn,7
Nghệ An,16
Bình Thuận,5
Tiền Giang,0
Đắk Nông,0
Quảng Trị,0
Long An,0
Điện Biên,28
Lai Châu,6
Quảng Ngãi,0
Hà Tĩnh,0
Thái Nguyên,7
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,0
Khánh Hòa,0
Kiên Giang,0
Thừa Thiên Huế,0
Quảng Ninh,31
Bến Tre,0
Gia Lai,13
Vĩnh Phúc,1
Lào Cai,0
Hưng Yên,0
Bà Rịa-Vũng Tàu,1
Phú Yên,0
Cao Bằng,6
Hải Phòng,0
Tuyên Quang,7
Đắk Lắk,22
Hải Dương,0
Kon Tum,4
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,6
Hà Giang,2
Thái Bình,0
Lạng Sơn,20
Sơn La,8
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,0
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,0
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,11
An Giang,0
