province,fire
Trà Vinh,0
Phú Thọ,5
Cà Mau,7
Thanh Hoá,23
Ninh Thuận,26
Hồ Chí Minh,0
Quảng Nam,114
Bình Định,8
Bắc Giang,3
Đồng Nai,3
Bắc Kạn,3
Nghệ An,66
Bình Thuận,21
Tiền Giang,0
Đắk Nông,126
Quảng Trị,0
Long An,6
Điện Biên,376
Lai Châu,175
Quảng Ngãi,27
Hà Tĩnh,12
Thái Nguyên,0
Đồng Tháp,2
Sóc Trăng,0
Lâm Đồng,91
Khánh Hòa,10
Kiên Giang,28
Thừa Thiên Huế,14
Quảng Ninh,4
Bến Tre,0
Gia Lai,336
Vĩnh Phúc,0
Lào Cai,25
Hưng Yên,0
Bà Rịa-Vũng Tàu,3
Phú Yên,2
Cao Bằng,25
Hải Phòng,0
Tuyên Quang,17
Đắk Lắk,126
Hải Dương,0
Kon Tum,552
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,9
Hà Giang,13
Thái Bình,0
Lạng Sơn,2
Sơn La,293
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,16
Hậu Giang,1
Hà Nội,0
Bắc Ninh,0
Bình Phước,2
Hà Nam,0
Tây Ninh,1
Bình Dương,4
Nam Định,0
Yên Bái,35
An Giang,3
