province,fire
Trà Vinh,16
Phú Thọ,6
Cà Mau,32
Thanh Hoá,98
Ninh Thuận,16
Hồ Chí Minh,28
Quảng Nam,935
Bình Định,144
Bắc Giang,79
Đồng Nai,73
Bắc Kạn,38
Nghệ An,638
Bình Thuận,64
Tiền Giang,17
Đắk Nông,65
Quảng Trị,264
Long An,52
Điện Biên,11
Lai Châu,28
Quảng Ngãi,552
Hà Tĩnh,93
Thái Nguyên,14
Đồng Tháp,16
Sóc Trăng,9
Lâm Đồng,42
Khánh Hòa,71
Kiên Giang,109
Thừa Thiên Huế,93
Quảng Ninh,85
Bến Tre,15
Gia Lai,135
Vĩnh Phúc,9
Lào Cai,47
Hưng Yên,4
Bà Rịa-Vũng Tàu,23
Phú Yên,88
Cao Bằng,22
Hải Phòng,12
Tuyên Quang,50
Đắk Lắk,168
Hải Dương,30
Kon Tum,105
Bạc Liêu,4
Đà Nẵng,9
Hòa Bình,33
Hà Giang,39
Thái Bình,16
Lạng Sơn,34
Sơn La,15
Cần Thơ,14
Vĩnh Long,4
Ninh Bình,14
Quảng Bình,97
Hậu Giang,3
Hà Nội,19
Bắc Ninh,25
Bình Phước,74
Hà Nam,4
Tây Ninh,31
Bình Dương,46
Nam Định,4
Yên Bái,26
An Giang,42
