province,fire
Trà Vinh,0
Phú Thọ,9
Cà Mau,0
Thanh Hoá,4
Ninh Thuận,3
Hồ Chí Minh,0
Quảng Nam,0
Bình Định,2
Bắc Giang,11
Đồng Nai,0
Bắc Kạn,0
Nghệ An,18
Bình Thuận,13
Tiền Giang,0
Đắk Nông,12
Quảng Trị,0
Long An,0
Điện Biên,15
Lai Châu,1
Quảng Ngãi,0
Hà Tĩnh,0
Thái Nguyên,8
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,4
Khánh Hòa,0
Kiên Giang,0
Thừa Thiên Huế,0
Quảng Ninh,52
Bến Tre,0
Gia Lai,77
Vĩnh Phúc,1
Lào Cai,3
Hưng Yên,0
Bà Rịa-Vũng Tàu,3
Phú Yên,0
Cao Bằng,3
Hải Phòng,0
Tuyên Quang,5
Đắk Lắk,195
Hải Dương,1
Kon Tum,27
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,0
Hà Giang,0
Thái Bình,0
Lạng Sơn,19
Sơn La,3
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,0
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,0
Hà Nam,0
Tây Ninh,1
Bình Dương,0
Nam Định,0
Yên Bái,3
An Giang,1
