province,fire
Trà Vinh,0
Phú Thọ,15
Cà Mau,7
Thanh Hoá,230
Ninh Thuận,80
Hồ Chí Minh,0
Quảng Nam,506
Bình Định,50
Bắc Giang,58
Đồng Nai,17
Bắc Kạn,81
Nghệ An,330
Bình Thuận,76
Tiền Giang,0
Đắk Nông,262
Quảng Trị,0
Long An,17
Điện Biên,830
Lai Châu,347
Quảng Ngãi,160
Hà Tĩnh,0
Thái Nguyên,43
Đồng Tháp,2
Sóc Trăng,0
Lâm Đồng,149
Khánh Hòa,43
Kiên Giang,6
Thừa Thiên Huế,75
Quảng Ninh,119
Bến Tre,0
Gia Lai,722
Vĩnh Phúc,2
Lào Cai,31
Hưng Yên,0
Bà Rịa-Vũng Tàu,6
Phú Yên,21
Cao Bằng,53
Hải Phòng,0
Tuyên Quang,76
Đắk Lắk,485
Hải Dương,0
Kon Tum,734
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,67
Hà Giang,54
Thái Bình,0
Lạng Sơn,68
Sơn La,373
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,1
Quảng Bình,130
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,13
Hà Nam,0
Tây Ninh,5
Bình Dương,3
Nam Định,0
Yên Bái,19
An Giang,9
