province,fire
Trà Vinh,0
Phú Thọ,7
Cà Mau,0
Thanh Hoá,1
Ninh Thuận,0
Hồ Chí Minh,0
Quảng Nam,6
Bình Định,0
Bắc Giang,0
Đồng Nai,0
Bắc Kạn,0
Nghệ An,3
Bình Thuận,20
Tiền Giang,0
Đắk Nông,10
Quảng Trị,0
Long An,0
Điện Biên,23
Lai Châu,8
Quảng Ngãi,2
Hà Tĩnh,7
Thái Nguyên,1
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,18
Khánh Hòa,1
Kiên Giang,0
Thừa Thiên Huế,12
Quảng Ninh,1
Bến Tre,0
Gia Lai,29
Vĩnh Phúc,0
Lào Cai,1
Hưng Yên,0
Bà Rịa-Vũng Tàu,2
Phú Yên,0
Cao Bằng,0
Hải Phòng,0
Tuyên Quang,1
Đắk Lắk,107
Hải Dương,0
Kon Tum,53
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,0
Hà Giang,0
Thái Bình,0
Lạng Sơn,2
Sơn La,22
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,7
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,3
Hà Nam,0
Tây Ninh,2
Bình Dương,0
Nam Định,0
Yên Bái,3
An Giang,0
