province,fire
Trà Vinh,2
Phú Thọ,4
Cà Mau,13
Thanh Hoá,36
Ninh Thuận,6
Hồ Chí Minh,10
Quảng Nam,100
Bình Định,62
Bắc Giang,47
Đồng Nai,38
Bắc Kạn,5
Nghệ An,39
Bình Thuận,28
Tiền Giang,10
Đắk Nông,0
Quảng Trị,24
Long An,23
Điện Biên,1
Lai Châu,4
Quảng Ngãi,101
Hà Tĩnh,25
Thái Nguyên,39
Đồng Tháp,19
Sóc Trăng,3
Lâm Đồng,6
Khánh Hòa,26
Kiên Giang,23
Thừa Thiên Huế,28
Quảng Ninh,46
Bến Tre,4
Gia Lai,32
Vĩnh Phúc,8
Lào Cai,9
Hưng Yên,15
Bà Rịa-Vũng Tàu,13
Phú Yên,50
Cao Bằng,2
Hải Phòng,14
Tuyên Quang,15
Đắk Lắk,28
Hải Dương,24
Kon Tum,5
Bạc Liêu,6
Đà Nẵng,6
Hòa Bình,7
Hà Giang,7
Thái Bình,12
Lạng Sơn,15
Sơn La,11
Cần Thơ,6
Vĩnh Long,11
Ninh Bình,15
Quảng Bình,35
Hậu Giang,4
Hà Nội,44
Bắc Ninh,48
Bình Phước,17
Hà Nam,13
Tây Ninh,16
Bình Dương,34
Nam Định,2
Yên Bái,9
An Giang,44
