province,fire
Trà Vinh,10
Phú Thọ,42
Cà Mau,2
Thanh Hoá,111
Ninh Thuận,35
Hồ Chí Minh,30
Quảng Nam,22
Bình Định,27
Bắc Giang,21
Đồng Nai,139
Bắc Kạn,89
Nghệ An,168
Bình Thuận,210
Tiền Giang,27
Đắk Nông,68
Quảng Trị,49
Long An,109
Điện Biên,342
Lai Châu,186
Quảng Ngãi,37
Hà Tĩnh,53
Thái Nguyên,35
Đồng Tháp,81
Sóc Trăng,7
Lâm Đồng,88
Khánh Hòa,13
Kiên Giang,70
Thừa Thiên Huế,20
Quảng Ninh,37
Bến Tre,28
Gia Lai,252
Vĩnh Phúc,8
Lào Cai,130
Hưng Yên,0
Bà Rịa-Vũng Tàu,34
Phú Yên,37
Cao Bằng,158
Hải Phòng,19
Tuyên Quang,115
Đắk Lắk,608
Hải Dương,21
Kon Tum,70
Bạc Liêu,7
Đà Nẵng,1
Hòa Bình,25
Hà Giang,135
Thái Bình,0
Lạng Sơn,73
Sơn La,228
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,7
Quảng Bình,46
Hậu Giang,8
Hà Nội,8
Bắc Ninh,10
Bình Phước,85
Hà Nam,15
Tây Ninh,112
Bình Dương,58
Nam Định,1
Yên Bái,137
An Giang,287
