province,fire
Trà Vinh,0
Phú Thọ,2
Cà Mau,0
Thanh Hoá,2
Ninh Thuận,0
Hồ Chí Minh,0
Quảng Nam,25
Bình Định,25
Bắc Giang,2
Đồng Nai,0
Bắc Kạn,1
Nghệ An,13
Bình Thuận,2
Tiền Giang,0
Đắk Nông,0
Quảng Trị,0
Long An,0
Điện Biên,10
Lai Châu,14
Quảng Ngãi,17
Hà Tĩnh,15
Thái Nguyên,0
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,0
Khánh Hòa,3
Kiên Giang,0
Thừa Thiên Huế,9
Quảng Ninh,18
Bến Tre,0
Gia Lai,0
Vĩnh Phúc,0
Lào Cai,2
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,7
Cao Bằng,4
Hải Phòng,1
Tuyên Quang,1
Đắk Lắk,0
Hải Dương,0
Kon Tum,0
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,2
Hà Giang,2
Thái Bình,0
Lạng Sơn,5
Sơn La,4
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,3
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,0
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,2
An Giang,0
