province,fire
Trà Vinh,0
Phú Thọ,0
Cà Mau,6
Thanh Hoá,0
Ninh Thuận,7
Hồ Chí Minh,2
Quảng Nam,14
Bình Định,16
Bắc Giang,0
Đồng Nai,5
Bắc Kạn,0
Nghệ An,32
Bình Thuận,9
Tiền Giang,0
Đắk Nông,8
Quảng Trị,0
Long An,2
Điện Biên,3
Lai Châu,3
Quảng Ngãi,8
Hà Tĩnh,8
Thái Nguyên,0
Đồng Tháp,2
Sóc Trăng,0
Lâm Đồng,10
Khánh Hòa,10
Kiên Giang,1
Thừa Thiên Huế,2
Quảng Ninh,4
Bến Tre,0
Gia Lai,15
Vĩnh Phúc,0
Lào Cai,1
Hưng Yên,0
Bà Rịa-Vũng Tàu,1
Phú Yên,4
Cao Bằng,2
Hải Phòng,0
Tuyên Quang,3
Đắk Lắk,10
Hải Dương,0
Kon Tum,30
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,6
Hà Giang,0
Thái Bình,0
Lạng Sơn,0
Sơn La,2
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,1
Quảng Bình,19
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,7
Hà Nam,0
Tây Ninh,1
Bình Dương,1
Nam Định,0
Yên Bái,3
An Giang,0
