province,fire
Trà Vinh,0
Phú Thọ,2
Cà Mau,0
Thanh Hoá,0
Ninh Thuận,0
Hồ Chí Minh,0
Quảng Nam,0
Bình Định,0
Bắc Giang,0
Đồng Nai,0
Bắc Kạn,0
Nghệ An,0
Bình Thuận,1
Tiền Giang,0
Đắk Nông,2
Quảng Trị,0
Long An,0
Điện Biên,7
Lai Châu,0
Quảng Ngãi,1
Hà Tĩnh,1
Thái Nguyên,1
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,0
Khánh Hòa,0
Kiên Giang,0
Thừa Thiên Huế,0
Quảng Ninh,11
Bến Tre,0
Gia Lai,2
Vĩnh Phúc,0
Lào Cai,0
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,0
Cao Bằng,5
Hải Phòng,0
Tuyên Quang,0
Đắk Lắk,1
Hải Dương,0
Kon Tum,2
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,0
Hà Giang,0
Thái Bình,0
Lạng Sơn,3
Sơn La,3
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,1
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,4
Hà Nam,0
Tây Ninh,2
Bình Dương,0
Nam Định,0
Yên Bái,2
An Giang,0
